09-16-24,John North,Lazydays Holdings CEO,??,Immediately,https://rvnews.com/lazydays-ceo-resigns/,
09-16-24,John Carrington,STEM CEO,??,Immediately,https://markets.businessinsider.com/news/stocks/stem-ceo-john-carrington-steps-down-david-buzby-named-interim-ceo-1033773769,
09-16-24,Nathalie Roos,Lipton Teas CEO,??,Immediately,https://www.foodbev.com/news/lipton-teas-and-infusions-ceo-nathalie-roos-to-step-down,
09-16-24,Eric Pryor,Pennsylvania Academy of the Fine Arts president,Personal Reasons,Immediately,https://www.inquirer.com/arts/philadelphia-academy-fine-arts-president-leaving-20240916.html,
09-17-24,Peter Maag,Kyverna CEO,??,Immediately,https://biocentury.com/article/653570/peter-maag-resigns-as-kyverna-ceo,
09-17-24,Kevin J. Thibault,Greater Orlando Aviation Authority CEO,Wife's Health Issues with incurable disease,Immediately,https://msn.com/en-us/money/careersandeducation/goaa-ceo-kevin-j-thibault-announces-surprise-resignation/vi-AA1qNlK9,"@yoyonofukuoka, @doqholliday"
09-17-24,23andMe Board,23andMe Board,differ on the strategic direction,Immediately,https://fortune.com/2024/09/18/23andme-board-resigns-anne-wojcicki/,"@yoyonofukuoka, @doqholliday"
09-17-24,Greg Dyer,Sydney Fish Market CEO,Non executive role to spend more time with his family,Immediately,https://insideretail.com.au/careers/sydney-fish-market-ceo-greg-dyer-resigns-202409,
09-17-24,Romain Mazeries,Mangopay CEO,Continue to work close with the company.,Immediately,https://www.fintechfutures.com/2024/09/mangopay-hires-sergi-herrero-as-new-ceo-as-romain-mazeries-steps-down/,
09-17-24,Peter Ingram,Hawaiian Airlines President and CEO,Merger?,,https://newsroom.hawaiianairlines.com/releases/alaska-air-group-announces-interim-honolulu-leadership-team-to-guide-combination-with-hawaiian-airlines,
09-17-24,Jonathan Holloway,Rutgers President,Moving to faculty after sabbatical,06/30/25,https://www.rutgers.edu/news/jonathan-holloway-serve-final-year-rutgers-president,@tan191063
09-17-24,Ryan Webb,Dragons CEO,??,Immediately,https://www.espn.com/nrl/story/_/id/41295356/nrl-st-george-illawarra-dragons-ceo-ryan-webb-step-five-years,
09-17-24,Chris Roach,BBG CEO,Performance??,Immediately,https://therealdeal.com/new-york/2024/09/17/appraisal-firm-bbg-ceo-chris-roach-will-step-down/,
09-17-24,Keven Liles,300 Entertainment CEO,"“blah blah blah, Dems, blah blah blah.” NOTE: Supporter of Diddler",09/30/24,https://www.billboard.com/pro/kevin-liles-300-entertainment-ceo-warner-music/,
09-18-24,Michael Conway,Starbucks North America CEO,Decided to retire,11/30/24,https://finance.yahoo.com/news/starbucks-north-america-ceo-michael-015117737.html,
09-18-24,Matteo Fantacchiotti,Campari CEO,Personal Reasons,Immediately,https://www.camparigroup.com/sites/default/files/downloads/20240918_CEO%20Resignation.pdf,
09-18-24,Tom Keller,Ozarks Healthcare CEO,New CEO Role with Freeman Health Systems,12/01/24,https://koamnewsnow.com/news/joplin-news-first/ozarks-healthcare-president-and-ceo-to-exit-west-plains-for-joplin/article_3db2c7ec-7608-11ef-b36d-1bcf2494229f.html,
09-18-24,Vikas Vija,IOL Chemicals and Pharmaceuticals Limited CEO,??,Immediately,https://marketscreener.com/quote/stock/IOL-CHEMICALS-AND-PHARMAC-46729535/news/IOL-Chemicals-and-Pharmaceuticals-Limited-Announces-Resignation-of-Vikas-Vij-as-Chief-Executive-Offi-47891858/,
09-18-24,Kaz Kobayashi,Warner Music Japan President and CEO,Right momement to move on,Immediately,https://www.billboard.com/pro/warner-music-japan-president-ceo-kaz-kobayashi-stepping-down/,"@yoyonofukuoka, @doqholliday"
09-18-24,Randy Goodman,"Chairman and CEO, Sony Music Nashville",Retire,12/24/24,https://www.sonymusic.com/sonymusic/randy-goodman-to-retire/,"@yoyonofukuoka, @doqholliday"
09-18-24,David Goubert,AYR Wellness CEO,??,Immediately,https://www.cannabisbusinesstimes.com/news/ayr-wellness-ceo-david-goubert-steps-down-effective-immediately/,@yoyonofukuoka
09-18-24,Wade Davis,TelevisaUnivision CEO,Moving to Board,Immediately,https://finance.yahoo.com/news/televisaunivision-names-daniel-alegre-ceo-041502882.html,
09-18-24,Gunter Erfurt,Meyer Burger CEO,Will remain advisor to Board of Directories,Immediately?,https://www.pv-magazine.com/2024/09/18/meyer-burger-ceo-resigns/,
09-18-24,Mohsin Issa,Asda co-CEO,focus on EG Group,Immediately,https://news.sky.com/story/asda-co-owner-steps-down-as-hunt-for-ceo-continues-13217175,
09-18-24,Robert Davis,Steamship Authority General Manager,Performance??,10/25/24,https://www.mvtimes.com/2024/09/17/davis-step-ssa-general-manager/,@tan191063
09-18-24,Jack O’Meara,Ochre Bio CEO,??,Immediately,https://thebusinessmagazine.co.uk/technology-innovation/ceo-steps-down-at-oxfords-ochre-bio/,
09-18-24,Chad Patrick,Mission Hospital CEO,New CEO Position,Immediately,https://wlos.com/news/local/chad-patrick-steps-down-ceo-of-mission-hospital-greg-lowe-take-over-hca-healthcare-nancy-lindell-nurses-strike-union-lawsuit,
09-19-24,Maurice (Nic) Matich,Pinnacle Minerals Limited CEO,??,Immediately,https://www.marketscreener.com/quote/stock/PINNACLE-MINERALS-LIMITED-133157220/news/Pinnacle-Minerals-Limited-Announces-Resignation-of-Maurice-Matich-as-Managing-Director-47896766/,
09-19-24,John Donohoe,Nike CEO,“Abruptly retires amid declining sales.”,Immediately,https://www.nytimes.com/2024/09/19/business/nike-elliott-hill-john-donahoe.html,
